,count
2020-01-01,868
2020-01-02,2158
2020-01-03,2432
2020-01-04,1735
2020-01-05,1280
2020-01-06,2626
2020-01-07,2649
2020-01-08,2759
2020-01-09,3044
2020-01-10,3335
2020-01-11,1909
2020-01-12,1281
2020-01-13,2569
2020-01-14,2793
2020-01-15,2924
2020-01-16,3136
2020-01-17,3352
2020-01-18,1983
2020-01-19,1270
2020-01-20,2835
2020-01-21,2956
2020-01-22,2898
2020-01-23,3087
2020-01-24,3254
2020-01-25,2368
2020-01-26,1597
2020-01-27,2725
2020-01-28,2946
2020-01-29,3090
2020-01-30,3163
2020-01-31,3489
2020-02-01,1969
2020-02-02,1373
2020-02-03,2750
2020-02-04,2927
2020-02-05,3034
2020-02-06,3174
2020-02-07,3414
2020-02-08,1839
2020-02-09,1097
2020-02-10,2715
2020-02-11,2907
2020-02-12,2993
2020-02-13,3261
2020-02-14,3543
2020-02-15,1761
2020-02-16,1159
2020-02-17,2634
2020-02-18,2846
2020-02-19,2913
2020-02-20,2888
2020-02-21,3237
2020-02-22,1902
2020-02-23,1252
2020-02-24,2942
2020-02-25,3017
2020-02-26,2888
2020-02-27,3101
2020-02-28,3279
2020-02-29,1793
2020-03-01,1325
2020-03-02,2796
2020-03-03,2936
2020-03-04,2986
2020-03-05,3176
2020-03-06,3351
2020-03-07,1980
2020-03-08,1374
2020-03-09,2794
2020-03-10,2904
2020-03-11,2943
2020-03-12,3156
2020-03-13,2730
2020-03-14,1472
2020-03-15,940
2020-03-16,1822
2020-03-17,749
2020-03-18,1801
2020-03-19,1904
2020-03-20,2150
2020-03-21,1252
2020-03-22,716
2020-03-23,1615
2020-03-24,1783
2020-03-25,1478
2020-03-26,1536
2020-03-27,1659
2020-03-28,553
2020-03-29,234
2020-03-30,782
2020-03-31,773
2020-04-01,788
2020-04-02,812
2020-04-03,880
2020-04-04,530
2020-04-05,306
2020-04-06,775
2020-04-07,870
2020-04-08,878
2020-04-09,912
2020-04-10,773
2020-04-11,467
2020-04-12,195
2020-04-13,287
2020-04-14,787
2020-04-15,823
2020-04-16,928
2020-04-17,918
2020-04-18,502
2020-04-19,310
2020-04-20,880
2020-04-21,914
2020-04-22,921
2020-04-23,980
2020-04-24,1013
2020-04-25,555
2020-04-26,316
2020-04-27,883
2020-04-28,962
2020-04-29,978
