,num,cosit,start_date,end_date,path,raw_path,url
87,1301,NRA_000000001301,2020-01-01,2020-01-31,Data/2020-01-01 - 2020-01-31/NRA_000000001301.xls,Data/Raw/2020-01-01 - 2020-01-31/NRA_000000001301.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001301&reportdate=2020-01-01&enddate=2020-01-31&excel=1&intval=11
88,1302,NRA_000000001302,2020-01-01,2020-01-31,Data/2020-01-01 - 2020-01-31/NRA_000000001302.xls,Data/Raw/2020-01-01 - 2020-01-31/NRA_000000001302.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001302&reportdate=2020-01-01&enddate=2020-01-31&excel=1&intval=11
89,1303,NRA_000000001303,2020-01-01,2020-01-31,Data/2020-01-01 - 2020-01-31/NRA_000000001303.xls,Data/Raw/2020-01-01 - 2020-01-31/NRA_000000001303.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001303&reportdate=2020-01-01&enddate=2020-01-31&excel=1&intval=11
92,1321,NRA_000000001321,2020-01-01,2020-01-31,Data/2020-01-01 - 2020-01-31/NRA_000000001321.xls,Data/Raw/2020-01-01 - 2020-01-31/NRA_000000001321.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001321&reportdate=2020-01-01&enddate=2020-01-31&excel=1&intval=11
94,1401,NRA_000000001401,2020-01-01,2020-01-31,Data/2020-01-01 - 2020-01-31/NRA_000000001401.xls,Data/Raw/2020-01-01 - 2020-01-31/NRA_000000001401.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001401&reportdate=2020-01-01&enddate=2020-01-31&excel=1&intval=11
95,1403,NRA_000000001403,2020-01-01,2020-01-31,Data/2020-01-01 - 2020-01-31/NRA_000000001403.xls,Data/Raw/2020-01-01 - 2020-01-31/NRA_000000001403.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001403&reportdate=2020-01-01&enddate=2020-01-31&excel=1&intval=11
96,1404,NRA_000000001404,2020-01-01,2020-01-31,Data/2020-01-01 - 2020-01-31/NRA_000000001404.xls,Data/Raw/2020-01-01 - 2020-01-31/NRA_000000001404.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001404&reportdate=2020-01-01&enddate=2020-01-31&excel=1&intval=11
97,1405,NRA_000000001405,2020-01-01,2020-01-31,Data/2020-01-01 - 2020-01-31/NRA_000000001405.xls,Data/Raw/2020-01-01 - 2020-01-31/NRA_000000001405.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001405&reportdate=2020-01-01&enddate=2020-01-31&excel=1&intval=11
173,3102,NRA_000000003102,2020-01-01,2020-01-31,Data/2020-01-01 - 2020-01-31/NRA_000000003102.xls,Data/Raw/2020-01-01 - 2020-01-31/NRA_000000003102.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003102&reportdate=2020-01-01&enddate=2020-01-31&excel=1&intval=11
174,3103,NRA_000000003103,2020-01-01,2020-01-31,Data/2020-01-01 - 2020-01-31/NRA_000000003103.xls,Data/Raw/2020-01-01 - 2020-01-31/NRA_000000003103.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003103&reportdate=2020-01-01&enddate=2020-01-31&excel=1&intval=11
