nra,num,cosit,TMU,location,lat,lng
NRA,997,NRA_000000000997,NRA - test site,Test site for AFMS,53.3989,-6.34177
NRA,1011,NRA_000000001011,TMU N01 000.0 N,M01 Airport Link Road Between R132 Swords Road and Jn2 Dublin Airport,53.42808,-6.22453
NRA,1012,NRA_000000001012,TMU M50 000.0 N,M50 Between Jn02 Santry and Jn03 M50\/M1,53.40305,-6.2335
NRA,1013,NRA_000000001013,TMU N01 040.0 S,"N01 South of M50 Jn02 Santry, Whitehall",53.38807,-6.24237
NRA,1014,NRA_000000001014,TMU M01 000.0 N,M01 Between Jn01 M50\/M01 and Jn02 Dublin Airport,53.4178,-6.22294
NRA,1015,NRA_000000001015,TMU M01 010.0 S,"M01 Between Jn04 Donabate and Jn05 Balbriggan (South), Donabate",53.50218,-6.19982
NRA,1016,NRA_000000001016,TMU M01 046.0 S,M01 Between J11 & J10 @ VMS Monasterboice Co. Louth ,53.7698,-6.41008
NRA,1021,NRA_000000001021,TMU N02 080.0 N,"N02 Between Carrickmacross and Castleblaney, Donaghmoyne, Co. Monaghan",54.0103,-6.71235
NRA,1022,NRA_000000001022,TMU N02 070.0 N,"N02 Between Ardee and Carrickmacross, Drumgeeny, Co. Monaghan",53.92964,-6.64804
NRA,1023,NRA_000000001023,TMU N02 020.0 N,"N02 Between Ashbourne and Slane, Crickstown Co. Meath",53.54228,-6.42853
NRA,1024,NRA_000000001024,TMU N02 110.0 N,"N02 Between Castleblaney and Monaghan Town, Clontibert, Co. Monaghan",54.20615,-6.84583
NRA,1025,NRA_000000001025,TMU N02 035.0 S,"N02 Between Slane and Ashbourne, McGruders Cross L1600, Co. Meath",53.68196,-6.54012
NRA,1027,NRA_000000001027,TMU N02 042.0 N,"N2 Between Slane and Collon, Sillogue,Co Meath",53.72804,-6.51722
NRA,1031,NRA_000000001031,TMU N03 130.0 N,"N03 Between Belleek  and Ballyshannon, Templenew, Co. Donegal",54.4844,-8.12508
NRA,1032,NRA_000000001032,TMU N03 070.0 N,"N03 Between Virginia and Kells, Co. Cavan",53.78017,-7.00942
NRA,1033,NRA_000000001033,TMU N03 005.0 S,"N03 Between Jn03 Clonsilla and Jn04 Clonee , Clonee, Co. Dublin",53.40748,-6.42042
NRA,1034,NRA_000000001034,"TMU N03 000.0 N \DATA ADVISEMENT\""""","N03 Between Jn02 Blanchardstown and Jn03 Clonsilla, Blanchardstown, Co. Dublin ",53.39369,-6.38519
NRA,1035,NRA_000000001035,TMU N03 110.0 N,"N03 Between R188 Jn and Dublin Road Roundabout, Cavan Bypass, Co. Cavan",54.00773,-7.34263
NRA,1036,NRA_000000001036,TMU N03 115.0 S ,"N03 Between  Staghall Roundabout , and Butlers Bridge, Belturbet Bypass, Co Cavan",54.09774,-7.46021
NRA,1041,NRA_000000001041,TMU N04 190.0 E,"N04 Between the N59\/N4 roundabout (Belladrihid) and Carrowroe Exit, Co. Sligo",54.23255,-8.49203
NRA,1042,NRA_000000001042,TMU N04 170.0 E,"N04 Between Castlebaldwin and Boyle, Dromdoney, Co. Sligo",54.07138,-8.36554
NRA,1043,NRA_000000001043,TMU N04 090.0 E,"N04 Between Edgeworthstown and Mullingar, Loughlanstown, Co. Longford",53.66783,-7.53782
NRA,1044,NRA_000000001044,TMU N04 000.0 E,"N04 Between Jn03 Newcastle and Jn04 Lucan, Lucan, Co. Dublin",53.35114,-6.44254
NRA,1045,NRA_000000001045,TMU R148 040.0 W,"R148 East of Kinnegad, Ardnamullen, Co. Meath",53.44971,-7.06698
NRA,1046,NRA_000000001046,TMU N04 151.0 E,"N04 Between Boyle and Carrick on Shannon, Usna Co Roscommon",53.9585,-8.17967
NRA,1051,NRA_000000001051,TMU N05 130.0 E,"N05 Between Westport and Castlebar, Doon, Co. Mayo",53.80634,-9.44985
NRA,1052,NRA_000000001052,TMU N05 110.0 W,"N05 Between Turlough and Castlebar, Gortnafolla, Co. Mayo",53.86279,-9.27769
NRA,1053,NRA_000000001053,TMU N05 080.0 E,"N05 Between Swinford and Charlestown, Cloonaghboy, Co. Mayo",53.9486,-8.8926
NRA,1054,NRA_000000001054,TMU N05 010.0 E,"N05 Between Strokestown and Longford,Termonbarry, Co. Roscommon",53.74647,-7.93814
NRA,1055,NRA_000000001055,TMU N05 60.0 E,N5 Ballaghaderreen Bypass,53.90929,-8.549
NRA,1056,NRA_000000001056,TMU N05 62.50 W,N5 Ballaghaderreen Bypass,53.91459,-8.56383
NRA,1057,NRA_000000001057,TMU N5 001.0 W,"N5 Between N4 and N5, N5 Link, Longford Bypass Co. Longford",53.73893,-7.81461
NRA,1058,NRA_000000001058,TMU N05 100.0W,"N05 Between Bohola and Swinford, Knockavrony Co Mayo",53.89222,-9.13503
NRA,1065,NRA_000000001065,TMU N06 061.0 W,"N06 Between Jn 10 & Jn 11, Athlone Bypass Co. Westmeath",53.43262,-7.92972
NRA,1069,NRA_000000001069,TMU N06 145.0 E,"N06 Between N84 and N83, Bothar na dTreabh, Co Galway ",53.28958,-9.0355
NRA,1070,NRA_000000001070,TMU N07 001.0 E,"N07 Between Jn01 M50 and Jn1a Newlands Cross (R113), Dublin",53.31607,-6.37874
NRA,1071,NRA_000000001071,TMU N07 005.0 E,"N07 Between Jn02 Kingswood and Jn03 Citywest, Kingswood, Co. Dublin",53.29789,-6.42507
NRA,1072,NRA_000000001072,TMU N07 000.0 W,"N07 Between Jn01a Newlands Cross and Jn02 Kingswood, Co. Dublin",53.30487,-6.41113
NRA,1073,NRA_000000001073,TMU N07 006.0 E,"N07 between Jn 4 & Jn 3 at EB VMS Citywest, Co. Dublin",53.29027,-6.44723
NRA,1081,NRA_000000001081,TMU N08 150.0 S,"N08 Between Dunkettle Interchange and Cork City, Tivoli, Co. Cork",51.90461,-8.41296
NRA,1085,NRA_000000001085,TMU M08 090.0N,"M08 Between Jn 12 & Jn 11  Skeheenarinky, Co Tipperary",52.31214,-8.14263
NRA,1086,NRA_000000001086,TMU M08 100.0 S,"M08 Between Jn12 Mitchelstown (North) and Jn13 Mitchelstown (South), Co. Cork",52.27027,-8.23993
NRA,1090,NRA_000000001090,TMU M09 006.0 N,"M09 Between M9 Jn2 Kilcullen and M7 Jn 11,Knockbounce Kilcullen Co Kildare ",53.12724,-6.76141
NRA,1092,NRA_000000001092,TMU M9 049.0 N,"M9 between J6 and J5, Carlow Bypass Ballybar Upper Co Carlow,",52.79029,-6.90719
NRA,1101,NRA_000000001101,TMU N10 015.0 N,"N10 Between Kilkenny City and M09 Jn09 Kilkenny (South), Grevine, Co. Kilkenny",52.61042,-7.24455
NRA,1102,NRA_000000001102,TMU R712 010.0 E,"R712 Between Kilkenny and Paulstown, Brickana, Co. Kilkenny",52.64823,-7.0998
NRA,1111,NRA_000000001111,TMU N11 110.0 S,"N11 Between N11\/N80 Jn and Enniscorthy, Clavass, Co. Wexford",52.53752,-6.55295
NRA,1112,NRA_000000001112,TMU N11 120.0 N,"N11 Between Ferrycarrig and Oilgate, Co. Wexford",52.3956,-6.5198
NRA,1113,NRA_000000001113,TMU M11 010.0 N,"M11 Between M50\/M11 and Bray North Jn, Bray, Co. Dublin",53.22208,-6.12913
NRA,1114,NRA_000000001114,TMU N11 030.0 S,"N11 Between Jn13 and Jn14, Nth Coynes Cross, Timore Co Wicklow",53.05928,-6.09258
NRA,1121,NRA_000000001121,TMU N12 000.0 N,"N12 Armagh Road, Between N02 and R213",54.26738,-6.92463
NRA,1131,NRA_000000001131,TMU N13 040.0 S,"N13 Between Bridgend and Burnfoot, Co. Donegal",55.04278,-7.3897
NRA,1132,NRA_000000001132,TMU N13 020.0 S,"N13 Between Letterkenny and Lifford, Rossbracken, Co. Donegal",54.94666,-7.64555
NRA,1133,NRA_000000001133,TMU N13 010.0 N,"N13 Between Stranorlar and Letterkenny, Treantaboy, Co. Donegal",54.87773,-7.74265
NRA,1141,NRA_000000001141,TMU N14 020.0 N,"N14 Between Lifford and Letterkenny, Drumbuoy, Co. Donegal",54.8402,-7.49488
NRA,1151,NRA_000000001151,TMU N15 000.0 S,"N15 Lifford to Castlefinn, Inchenagh, Co. Donegal",54.81215,-7.52054
NRA,1161,NRA_000000001161,TMU N16 040.0 E,"N16 Between Enniskillen and Sligo, McNean Court, Co. Sligo",54.28701,-7.91383
NRA,1169,NRA_000000001169,TMU N16 002.5 E,"N16 East Between Glencar and Sligo Town, Barroe, Co Sligo.",54.28232,-8.44722
NRA,1171,NRA_000000001171,TMU N17 080.0 N,"N17 Between Tuam and Claremorris, Kilcloony, Co. Galway",53.59072,-8.86696
NRA,1172,NRA_000000001172,TMU N17 050.0 S,"N17 Between Charlestown and Knock, Ballinacostelo, Co. Mayo",53.82623,-8.87827
NRA,1173,NRA_000000001173,TMU N17 030.0 S,"N17 Between Tobercurry and Charlestown, Co. Sligo",53.99517,-8.77674
NRA,1182,NRA_000000001182,TMU N18 020.0 N,"N18 Between Kilcolgan and Clarinbridge, Co. Galway",53.21657,-8.87203
NRA,1191,NRA_000000001191,TMU N19 001.5 S,"N19 Between R472 and Drumgeely roundabout, Ballymurtagh Co Clare.",52.71266,-8.88556
NRA,1201,NRA_000000001201,TMU N20 050.0 N,"N20 Between Buttevant and Charleville, Co. Cork",52.28539,-8.6792
NRA,1202,NRA_000000001202,TMU N20 065.0 N,"N20  Between Charleville and R518, Rockhill Co Limerick.",52.41904,-8.68795
